feature,importance_mean,importance_std
RH2M__z,0.03238315778195892,0.00038073666671320776
T2M_RANGE__z,0.02754445422580354,0.0004886776249541513
QV2M__z,0.02215300257515298,0.0007173444858581175
T2MDEW__z,0.020795714363264974,0.0005035234085458453
RH2M,0.019146184854438066,0.00043839202653004553
T2M_MAX__z,0.015115109017521906,0.0004475019016216643
T2MWET__z,0.013081358444042184,0.00027482224974515666
TS__z,0.013053793597498165,0.00039312364043774
T2M__z,0.01230385316342881,0.0003133904691622966
PS__z,0.011267280848720253,0.000215882972206893
PRECTOTCORR__lag6,0.011196407976042608,0.00017812295552133015
T2M_MIN__z,0.01101587397455601,0.0002798967663230475
T2M_RANGE,0.010547311620907038,0.0005813310707485338
RH2M__lag6,0.010062378660718916,0.00023766513278737338
PRECTOTCORR__lag1,0.008983060301720067,0.00026163931596035183
QV2M,0.008554138768647624,0.0004604396551002118
T2M_RANGE__lag1,0.008127696471157863,0.0005101340798306437
PRECTOTCORR__lag5,0.00811026979399922,0.00023983140791955797
RH2M__lag1,0.007992445372700985,0.0003112542140093093
QV2M__lag6,0.007985621837755214,0.00037523234909948134
RH2M__lag5,0.007755000336535868,0.00012843736255599363
T2M_RANGE__lag6,0.00761277550214334,0.0002874343846962145
PRECTOTCORR__roll_prev6m,0.007584033958250541,0.0001718661535433406
WS10M_RANGE__z,0.007542301895176356,0.00026484774731628076
PRECTOTCORR__roll_prev3m,0.007372452368439243,0.00019473167963811932
T2M_MAX,0.007290913159667706,0.00022275197709414735
RH2M__lag4,0.0071019245832151506,0.00025662714721459413
PRECTOTCORR__lag3,0.007081144323028208,0.0001230224763522903
PRECTOTCORR__lag2,0.007010298054600135,0.00015391951747428087
T2MDEW,0.006451046984626801,0.0002829759064802741
PRECTOTCORR__lag4,0.006426575083255881,9.923959762752276e-05
T2M_MAX__lag3,0.006316288491863805,0.00016474580079935076
WS10M_MAX__z,0.0063151217322171245,3.7212403960628e-05
WS10M__z,0.006261775918031008,0.00015810864614293642
T2MDEW__lag6,0.006215932589472679,0.00014450418209092244
QV2M__lag1,0.006041479036301057,0.00012273770551587306
T2M_MAX__lag6,0.005977884513213676,0.0001247558605593424
RH2M__roll_prev6m,0.005899019034967805,0.00011487986037251405
T2M_MAX__lag4,0.005871816873918542,0.0001918680447612976
WS2M_RANGE__z,0.00561958096923506,0.00012000775233547145
RH2M__lag3,0.005600184087948138,8.197739129133022e-05
QV2M__lag2,0.005590173034452896,0.0002575790136248489
WS10M_MIN__z,0.005577882328948486,0.00010183749840305398
T2M_MAX__lag1,0.005528300439429557,0.00010767431813752613
RH2M__roll6m,0.005440435047837379,0.00011900467093581818
T2M_RANGE__lag5,0.005335368178321881,0.0001697948825308303
RH2M__roll_prev3m,0.005335171535161892,0.00021279893579888127
WS2M__z,0.005248302787302348,0.00013915913289706114
WS2M_MAX__z,0.005205825695738236,0.0001892815395324224
WS2M_MIN__z,0.005140983660635258,0.00016745274940132779
QV2M__lag5,0.005112474387836857,0.00013684072130373682
T2M_MAX__lag5,0.005031273579150913,0.00021102905994655727
RH2M__lag2,0.005020917555773036,0.00015822512043867787
RH2M__roll3m,0.00497745581977291,6.02090175262284e-05
T2M_RANGE__roll_prev3m,0.004957810634535224,0.0003188068389132039
T2M_RANGE__lag4,0.0048964701045690244,0.00028573456076447554
T2M_RANGE__lag2,0.0048483635489390605,0.00027554983765222464
T2M_RANGE__lag3,0.0048360194431243345,0.00023552184564890326
T2M_MAX__lag2,0.00450459058727493,0.0001203885545685794
QV2M__lag4,0.004464103385152417,0.0001121336574832878
QV2M__lag3,0.004330300404248528,0.00012310390394389966
T2MWET__lag2,0.004316146468982571,0.00021777976857736823
QV2M__roll_prev3m,0.004304463468780379,0.0001347526016466948
T2MDEW__lag1,0.004291254161525248,0.0001408073000209862
T2MWET__lag6,0.004270092233691219,0.0001430501668278409
T2M_RANGE__roll3m,0.004231911261750776,0.0002596993529651374
TS,0.004195160367692843,0.0001686037741677483
T2M,0.004183651094537761,0.00010897538833458062
T2M__lag4,0.004163032637689318,2.1568271196534567e-05
TS__lag6,0.0041600974487448665,0.00010968944972903498
T2MDEW__lag5,0.004152910992068043,0.00012680247750937213
T2M__lag6,0.004119027051134141,0.00015552827107299184
T2M_MAX__roll_prev3m,0.004117329499619067,0.0001568901681506229
TS__lag3,0.004060440690279966,6.787160799704701e-05
T2M_MIN__lag2,0.004050547888692314,0.00017031894809681466
WS10M_RANGE__lag6,0.004031226155207382,0.0001287675415287804
TS__lag4,0.004030627388573048,0.00010677925479607422
T2M__lag3,0.004013319832629269,0.00010866345807810488
WS10M_MIN__lag4,0.003914756335596486,2.424439431140884e-05
T2M_MAX__roll3m,0.0038988590341466575,0.0001463788642956806
T2MDEW__lag2,0.003875061950258106,0.0002181247341044328
T2M__lag2,0.00382965680607339,0.00011634259427981249
TS__lag2,0.003826258773345374,0.00022754875699680546
T2M_RANGE__roll_prev6m,0.0038048161654973003,0.00012026487588288606
WS10M_MIN__lag3,0.0037873568065756973,0.00014359490256530974
T2M_MAX__roll6m,0.0037832253399771045,9.8681915904034e-05
WS10M_MIN__lag1,0.003758846979917323,9.916235095604736e-05
TS__lag5,0.003709379817619413,0.00016182645230121962
QV2M__roll3m,0.003707491179694061,4.512924371342143e-05
T2M_MIN__lag6,0.0036622187708504187,0.00016731887492732974
T2MDEW__lag4,0.0036584436048741073,0.00010188557287691751
T2M__lag1,0.003645474518627698,0.00010298853767718713
WS10M_MIN__lag6,0.003622874017217817,6.882172795209754e-05
WS10M_MIN__lag2,0.003615098553335689,0.00010500262470063292
WS10M_MIN__lag5,0.0036096154465353122,5.1093829511100685e-05
T2M_MAX__roll_prev6m,0.0036081371482270625,0.00015400475924825485
T2MWET,0.003588849749968177,6.00552126983613e-05
TS__lag1,0.0035769867911112085,0.00015110220084870975
T2M__lag5,0.0035007919483593586,9.609168394358808e-05
T2MDEW__lag3,0.0034583754340048686,0.00015611090782276466
T2M_MIN,0.003401186955826076,6.492231065655441e-05
T2MWET__lag5,0.0033878023156803175,0.00010566499432216932
WS10M_MIN,0.0033806163530444035,0.00011117888690961212
T2MWET__lag4,0.0033384296925154733,0.0001228668666940906
WS10M_MAX__lag6,0.0033150203684864815,0.00011036928691327516
T2M_RANGE__roll6m,0.0033049157191670543,0.0001444915982711973
T2MWET__lag1,0.003282210475493615,0.00017538441775236569
T2M_MIN__lag1,0.0032764235724621984,9.846645784919674e-05
T2MWET__lag3,0.003245607241283441,0.00010401181208868009
WS10M__lag6,0.003221643071715409,0.00012284298278207207
T2M_MIN__lag4,0.0031977518360243053,0.00011055810477855754
WS10M_RANGE__lag1,0.0031697242232989207,7.95261793068489e-05
WS10M_RANGE,0.0031637806297280116,6.094424835395353e-05
T2M_MIN__lag3,0.0031465339290365365,8.925340958141697e-05
T2M_MIN__lag5,0.003129233044753528,7.033467813316205e-05
WS10M_RANGE__lag5,0.0031127045946906635,7.279622186695204e-05
WS10M__lag1,0.0030977984634599797,0.00019945754554700874
WS10M__lag5,0.0030920419731104575,0.0001114221420934585
T2MDEW__roll_prev3m,0.003081957802264728,0.00010264074758765126
QV2M__roll_prev6m,0.003058339036384766,7.928216519039271e-05
WS10M__lag4,0.0030358351089252522,0.00013635342918159453
WS10M_RANGE__lag4,0.002981032206696288,0.00010378832910078563
WS10M_MAX__lag1,0.0029770637557700597,8.488210104911278e-05
WS10M__lag3,0.002963516902717812,6.365451188984393e-05
WS10M_RANGE__lag2,0.0029326602658757105,8.4366380906463e-05
WS10M_MIN__roll_prev3m,0.00292950729723381,9.587186647597973e-05
WS10M_MAX__lag5,0.002928463752106877,9.074535350651684e-05
WS10M_RANGE__lag3,0.0028782606471800176,6.567691674045248e-05
WS10M_MIN__roll3m,0.002874216265978397,9.508159219869604e-05
WS10M,0.0028491504229136307,0.00012153496427677076
TS__roll_prev3m,0.0028467286124776317,6.0063332012978014e-05
T2MDEW__roll3m,0.0028460663136322044,0.00010332552904870952
WS10M__lag2,0.002832662927923381,2.5885714356742254e-05
T2MWET__roll_prev3m,0.0028188237283855487,7.837484437767618e-05
QV2M__roll6m,0.0028122148760793574,0.00014903027686798153
WS10M_MAX,0.0027887405553126622,6.89422976685056e-05
T2M_MIN__roll_prev3m,0.0027697290128734934,5.206196794013618e-05
T2M__roll_prev3m,0.0027693887285329473,5.808604168999709e-05
WS10M_MAX__lag3,0.0027658916229987194,0.0001237169389703739
WS10M_MAX__lag4,0.002746192303789869,9.633673132224974e-05
TS__roll3m,0.002710549123497072,5.727542362809613e-05
WS2M_RANGE__lag6,0.002706033516121405,8.529957777321967e-05
WS2M_MIN__lag3,0.0026783254346392973,6.366026380304944e-05
WS2M_MIN__lag1,0.0026672206728686376,0.00010372096979079544
T2M_MIN__roll3m,0.00266384715729804,0.00010354960702293339
T2MWET__roll3m,0.0026596936385934154,0.0001243502750799202
WS2M_MIN__lag6,0.0026360813188280757,0.00010625927558557117
WS10M_MAX__lag2,0.002619922843852314,6.296914775450934e-05
T2MDEW__roll_prev6m,0.0025890034182557836,5.183844705783138e-05
T2M__roll3m,0.0025784455170561505,5.0431762751471154e-05
WS2M_MIN,0.002572039378047128,9.44010486249119e-05
WS2M_MIN__lag4,0.0025632856311330466,7.329308674011591e-05
PS__lag4,0.002553826131981958,9.612566573622214e-05
WS2M_MIN__lag5,0.00254789079822654,0.00012981361598916002
TS__roll6m,0.0025328960062365067,0.00010501940529024694
WS2M_RANGE__lag1,0.002529787209869026,8.538662648775162e-05
WS2M_RANGE,0.0025206836284251384,0.00014042638481284842
WS2M_MIN__lag2,0.0025088093947609772,0.00011090957967741973
WS10M_MIN__roll_prev6m,0.0025006675675900503,0.00010564174967867751
WS10M_MIN__roll6m,0.0024937494002992915,5.375354653431463e-05
TS__roll_prev6m,0.002480902250301062,0.0001115376302653589
T2MDEW__roll6m,0.002453829475794226,6.072649716629699e-05
T2M__roll_prev6m,0.0024470897427070716,8.911823629371323e-05
T2M__roll6m,0.0024439495283705014,0.00011881678540047092
PS__lag2,0.002433470128486441,0.00011074548096724125
WS2M_RANGE__lag5,0.002414128994040615,0.0001114248067738039
PS__lag5,0.002410969528546571,9.013115680687762e-05
WS10M_RANGE__roll_prev3m,0.0023977703258396444,0.00010070576716328192
PS__lag3,0.0023886738461123486,7.135980520771555e-05
WS10M_RANGE__roll3m,0.002383366218890959,0.0001517851566985205
PS__lag1,0.0023790785774389775,8.099548236351363e-05
WS2M__lag6,0.0023774446081636373,0.00014858391851758443
PS__lag6,0.0023682104261545664,8.535930889094045e-05
PS__roll3m,0.0023672350924796304,0.00010292234342856427
PS,0.0023670899320942947,5.877422178073304e-05
T2MWET__roll_prev6m,0.0023653133798245693,0.00012273061674832357
WS2M_RANGE__lag4,0.00235446641229761,0.00011412972268710591
PS__roll_prev3m,0.0023383180237322226,4.858981620296358e-05
WS2M_MAX__lag6,0.0023347613428559176,0.00013952068140380956
PS__roll_prev6m,0.0023267253668764892,9.997150376592109e-05
T2M_MIN__roll6m,0.0023242715804011283,9.576618111149588e-05
WS2M_RANGE__lag2,0.002323468599893275,2.988048854879137e-05
T2M_MIN__roll_prev6m,0.0023126462482868397,6.569832276741136e-05
PS__roll6m,0.0022925767667403667,6.925960380874791e-05
WS2M_MAX,0.0022760319899215696,7.677206156954641e-05
WS2M,0.0022572371383641106,1.731624714075814e-05
WS2M__lag1,0.0022484608989192015,7.234845439754107e-05
WS2M_MAX__lag1,0.0022472155560984987,3.597968217463115e-05
WS10M_RANGE__roll_prev6m,0.002242681716681903,5.2769568223266775e-05
WS2M_RANGE__lag3,0.002237500887827494,4.4304793110252875e-05
T2MWET__roll6m,0.002222418022173759,0.00010389695951247247
WS2M__lag5,0.0021897264600767513,8.818912423926653e-05
WS2M__lag4,0.002175266714517572,6.580821749411521e-05
WS2M_MAX__lag5,0.0021432409143819753,7.835180603379107e-05
WS2M__lag2,0.0021306515540957132,8.17972724825236e-05
WS10M__roll_prev3m,0.0021184057131308056,7.179794422357859e-05
WS2M__lag3,0.002108033020310653,7.825211145990052e-05
WS10M__roll3m,0.002101401379753933,3.278120810474266e-05
WS10M_RANGE__roll6m,0.002092912775816159,7.721954832929359e-05
WS2M_MAX__lag2,0.002079283999213572,8.921783582716788e-05
WS2M_MAX__lag4,0.002078849692110107,0.00015320549569281696
WS2M_MAX__lag3,0.0020633978996873635,7.973421688428091e-05
WS2M_MIN__roll_prev3m,0.0020554973349288567,4.1883817800485e-05
WS2M_MIN__roll3m,0.0020489409421043394,8.526889667899296e-05
WS2M_RANGE__roll_prev3m,0.001986449751896098,5.863449421390772e-05
WS10M_MAX__roll3m,0.0019814064804556516,8.499668417632903e-05
WS10M_MAX__roll_prev3m,0.0019738252873339746,8.156890381578411e-05
WS2M_RANGE__roll3m,0.001972325276615519,0.00013392747356175323
WS2M_RANGE__roll_prev6m,0.0018877952901170535,4.834485969927566e-05
WS2M_MIN__roll6m,0.0018654916468985906,4.992440209275231e-05
WS10M_MAX__roll_prev6m,0.0018483099260069118,0.000123262402909654
WS10M__roll_prev6m,0.001846631652065936,6.345045889569095e-05
WS2M_MIN__roll_prev6m,0.0018286229428953662,7.851234363210905e-05
WS10M__roll6m,0.0017689431207744337,5.371879067594885e-05
WS2M_RANGE__roll6m,0.0017593396754133673,5.837513847923916e-05
WS10M_MAX__roll6m,0.0017156157972336304,6.393014998783307e-05
WS2M__roll_prev3m,0.0016892760897657066,5.839398530541873e-05
WS2M_MAX__roll3m,0.0016876197259807289,0.00011758806261170533
WS2M_MAX__roll_prev3m,0.0016813833238936119,5.2494822578637735e-05
WS2M__roll3m,0.0016190195288769307,5.2790444114430264e-05
WS2M__roll_prev6m,0.0015950864356918623,6.860658252856186e-05
WS2M_MAX__roll_prev6m,0.0015915804760166443,9.244228399894014e-05
WS2M__roll6m,0.0015045762424829232,9.062785470443005e-05
WS2M_MAX__roll6m,0.0015025097107031937,4.255787057451978e-05
GloSlopesCl6_5min,0.0013262880621424922,4.0163854160600304e-05
GloSlopesCl3_5min,0.0012751331242339234,7.33139303476669e-05
GRS_2000,0.001252306666334429,9.689816289183037e-05
URB_2000,0.0012370789484180851,2.7523994979136886e-05
FOR_2000,0.0012145857646558116,3.548284745250669e-05
GloSlopesCl2_5min,0.001211353558646145,2.780476963576948e-05
GloSlopesCl5_5min,0.001168702795721912,6.337201675390434e-05
GloElev_5min,0.0011599481986481817,1.9543496968801417e-05
GloSlopesCl1_5min,0.0011495561179587182,2.0588444825270053e-05
GloSlopesCl4_5min,0.0011302576354775072,3.184088974193155e-05
CULTRF_2000,0.0010123489652154052,1.4925318903520941e-05
CULT_2000,0.001000134076805874,5.64513563446056e-05
GloSlopesCl8_5min,0.0009913727398478036,5.0642434488209016e-05
GloSlopesCl7_5min,0.0009820702733506217,5.35950458771052e-05
sq3,0.0004940456658077281,4.3399680736340814e-05
CULTIR_2000,0.0004925043190827561,4.79388846087888e-05
sq7,0.00045550112910784125,2.5937888499587227e-05
sq1,0.0002468520762291157,1.2440707369968655e-05
sq4,0.0002147791277340119,2.1713694028478002e-05
sq2,0.00020382439750976498,1.7234948225148487e-05
sq6,0.00015332225350769442,2.398411490977855e-05
NVG_2000,0.00010668008293444218,5.473826786065442e-05
WAT_2000,9.960647190110127e-05,2.5401672653154063e-05
sq5,4.770464999785061e-05,1.5032988560574587e-05
